Key|Name|Region|Altitude_m|Country|Lat|Lng|Type|Notes|City_Col_Index|Col_Index|Temp_Seasonality|Rain_Seasonality|AHT|AHT_Max|AHT_Min|AR_Total|Record_Temps
Alert,_Nunavut|Alert, Nunavut|North America|30|Canada|"82°30'05"" N"|"62°20'20"" W"|3|Ice cap climate|25|EH|||-14.4|6.1|-29.4|158.5|-50
Alexandria|Alexandria|Africa|20|Egypt|"31°11'53.2"" N"|"29°55'9.1"" E"|2|Hot desert / hot semi-arid climate|26|EI|||24.9|30.4|18.4|195.94|45
Algiers|Algiers|Africa|1|Algeria|"36°45'47.2"" N"|"3°3'2.0"" E"|2|Hot summer Mediterranean climate|27|EJ|||23.8|32.3|16.7|517.9|47.5
Alice_Springs|Alice Springs|South-East Asia|580|Australia|"23°42'0"" S"|"133°52'12"" E"|3|Hot desert climate|28|EK|||28.7|36.4|19.7|285.5|49.2
Aligarh|Aligarh|South Asia|182|India|"27°52'59.9"" N"|"78°4'59.9"" E"|2|Hot desert climate|29|EL|||31.3|40.1|20.6|751.7|47.5
Allahabad|Allahabad|South Asia|74|India|"25°26'60.0"" N"|"81°50'60.0"" E"|2|Humid subtropical (dry winter, wet summer) climate|30|EM|||32.6|41.6|23.2|978.5|48.8
Almaty|Almaty|Central Asia|852|Kazakhstan|"43°15'0.0"" N"|"76°57'0.0"" E"|2|Humid continental (hot summer, wet all year) climate|31|EN|||15.8|30|0.7|684|43.4
Amman|Amman|Central Asia|748|Jordan|"31°56'60.0"" N"|"35°55'59.9"" E"|2|Cold semi-arid climate|32|EO|||23.5|32.4|12.3|269.3|44
Amravati|Amravati|South Asia|343|India|"20°55'59.9"" N"|"77°45'0.0"" E"|2|Tropical monsoon climate|33|EP|||33.3|42|28|874|
Amritsar|Amritsar|South Asia|221|India|"31°37'59.2"" N"|"74°51'56.2"" E"|2|Hot semi-arid climate|34|EQ|||30.3|39.4|19.4|760|48.1
Amsterdam|Amsterdam|Europe|-2|Netherlands|"52°21'0.0"" N"|"4°55'0.0"" E"|1|Oceanic climate|35|ER|||13.8|22.1|5.8|838.2|
Amundsen–Scott_South_Pole_Station|Amundsen–Scott South Pole Station|Antarctica|2835|Antarctica|"90°00'00"" S"|"0°00'00"" E"|3|Ice cap climate|36|ES|||-46.3|-25.9|-55.9|0|-82.8
An_Najaf|An Najaf|Central Asia|60|Iraq|"31°59'46.0"" N"|"44°18'52.9"" E"|2|Hot desert climate|37|ET|||29.8|42|14|9.9|
Anchorage,_Alaska|Anchorage, Alaska|North America|31|United States of America|"61°13'0"" N"|"149°54'0"" W"|2|Subarctic (cool summer, wet all year) climate|38|EU|||6.6|18.6|-5.2|2061.2|
Ankara|Ankara|Central Asia|889|Turkey|"39°55'37.9"" N"|"32°51'51.8"" E"|2|Continental Mediterranean climate|39|EV|||17.9|30.3|4.4|402|-31.2
Anshan|Anshan|North-East Asia|27|China|"41°7'25.0"" N"|"122°59'24.0"" E"|2|Humid continental (hot summer, dry winter) climate|40|EW|||14.5|29.2|-3.8|710|-26.9
Antalya|Antalya|Central Asia|115|Turkey|"36°54'45.0"" N"|"30°41'22.9"" E"|2|Hot summer Mediterranean climate|41|EX|||25|35.3|15.2|1057.4|45.6
Antananarivo|Antananarivo|Africa|1276|Madagascar|"18°55'0.1"" S"|"47°31'0.1"" E"|2|Subtropical highland climate|42|EY|||24.3|26.6|20.4|1456.3|
Anyang|Anyang|North-East Asia|87|China|"36°5'57.8"" N"|"114°19'44.4"" E"|2|Cold semi-arid climate|43|EZ|||19.7|31.8|4.4|556.9|
Aracaju|Aracaju|South America|2|Brazil|"10°55'0.1"" S"|"37°4'0.1"" W"|2|Tropical monsoon climate|44|FA|||28.5|29.8|26.9|1695.3|
Arequipa|Arequipa|South America|2328|Peru|"16°23'56.0"" S"|"71°32'6.0"" W"|2|Hot desert climate|45|FB|||21.8|22.6|21|94.6|
Arkhangelsk|Arkhangelsk|Europe|10|Russian Federation|"64°32'0"" N"|"40°32'0"" E"|3|Subarctic (cool summer, wet all year) climate|46|FC|||5.5|21.8|-9.2|606|-45.2
As_Sulaymaniyah|As Sulaymaniyah|Central Asia|789|Iraq|"35°33'42.1"" N"|"45°26'26.9"" E"|2|Hot summer Mediterranean climate|47|FD|||24|38.8|7.8|745|
Asansol|Asansol|South Asia|96|India|"23°40'59.9"" N"|"86°58'59.9"" E"|2|Tropical savanna climate|48|FE|||32.2|39|26|1432|
